
 Lista de Imóveis da Caixa;;Data de geração:;14/08/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444429987901 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;R DAS CHACARAS (ANTIGA R 1330), N. 400, Apto 701, BL D VG 84 ;151.239,21;247.000,00;38.77;Não;Apartamento, 108.10 de área total, 47.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429987901
 8787701302180 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA DAS CHACARAS, N. 400, Apto 604, BL A BOX 26 ;148.177,69;242.000,00;38.77;Não;Apartamento, 108.10 de área total, 47.40 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701302180
 8787716918998 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 1205, BL 01 VG 64 ;166.040,45;271.173,01;38.77;Não;Apartamento, 88.58 de área total, 43.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716918998
 8787717875192 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 802, BLOCO 02 ;154.071,98;251.626,40;38.77;Não;Apartamento, 92.07 de área total, 45.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717875192
 8787719803180 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 308, BL 01 LT 01 QT 171 VG 74 ;144.262,88;235.606,44;38.77;Não;Apartamento, 88.58 de área total, 43.26 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719803180
 8787711051074 ;MG ;BELO HORIZONTE ;FLORAMAR ;RUA ANA DIAS DUARTE, N. 140, Apto 706, BL 01 VG 98 ;196.548,42;320.997,83;38.77;Não;Apartamento, 88.19 de área total, 46.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711051074
 8787710615942 ;MG ;BELO HORIZONTE ;DIAMANTE (BARREIRO) ;RUA ANTONIO ALVES, N. 300, Apto 606, BL 03 ;176.956,00;289.000,00;38.77;Não;Apartamento, 47.40 de área total, 47.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710615942
 8444401261841 ;MG ;BELO HORIZONTE ;CANDELARIA ;RUA AUGUSTA ALVARENGA INEZ, N. 33, Apto 204, BL 26 LT 14 QD 47 ;120.849,27;192.000,00;37.06;Não;Apartamento, 45.52 de área total, 45.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401261841
 1444409373918 ;MG ;BELO HORIZONTE ;CASTELO ;RUA CASTELO DE WINDSOR, N. 199, Apto 302, VG 19 E 20 ;312.284,01;490.000,00;36.27;Sim;Apartamento, 0.00 de área total, 102.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409373918
 8444413157807 ;MG ;BELO HORIZONTE ;CANDELARIA ;RUA JOAQUIM GONCALVES DA SILVA, N. 12, Apto 403, BL 13 ;151.043,49;237.000,00;36.27;Não;Apartamento, 45.52 de área total, 45.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413157807
 1787702428731 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 302, BLOCO 01 ;178.448,00;280.000,00;36.27;Não;Apartamento, 92.07 de área total, 45.22 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702428731
